NovelID,AuthorID,Sex,SexualOrientation,Author,Nationality,Born,PublicationYear,Age,Novel,Language,Original_Language,Filename,Segment,WordCount,AnalyticalThinking,Clout,Authentic,Tone,WordsPerSentence,SixLetters,Dictionary,FunctionWords,pronoun,PersonalPronouns,i,we,you,SheHe,they,ImpersonalPronouns,article,preposition,AuxiliaryVerb,adverb,conjunction,negation,verb,adjective,comparison,interrogative,number,quantifier,affect,PositiveEmotion,NegativeEmotion,anxiety,anger,sad,social,family,friend,female,male,CognitiveProcesses,insight,cause,discrepancies,tentative,certainty,differentiation,PerceptualProcesses,see,hear,feel,BiologicalProcesses,body,health,sexual,ingest,drives,affiliation,achievement,power,reward,risk,focuspast,focuspresent,focusfuture,relativity,motion,space,time,work,leisure,home,money,religion,death,informal,swear,netspeak,assent,nonfluencies,FillerWords,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostrophe,Parenthesis,OtherPunctuation
112,64,male,heterosexual,Colson Whitehead,American,1969,2001,32,John Henry Days,English,English,1969-2001-32 US_Male_Whitehead_John Henry Days_2001.docx,1,154425,84.58,80.18,15.1,35.73,14.42,16.49,82.69,51.33,13.24,8.52,0.83,0.23,0.75,5.21,1.49,4.71,9.7,14.35,6.47,3.69,5.47,1.42,14.07,4.13,1.87,1.37,1.44,1.79,3.39,1.96,1.39,0.23,0.45,0.27,12.31,0.37,0.36,1.41,4.86,8.24,1.68,0.97,1.06,2.01,1.21,2.38,3.8,1.73,1.19,0.7,2.69,1.49,0.44,0.13,0.67,5.52,1,1.04,2.56,1.09,0.32,5.18,7.15,1,16.18,2.31,8.95,5.18,1.78,1.37,0.72,0.69,0.23,0.28,0.45,0.17,0.09,0.07,0.08,0.02,17.18,6.71,5.1,0.15,0.18,0.38,0.06,0.54,1.6,2.13,0.24,0.09
113,64,male,heterosexual,Colson Whitehead,American,1969,2009,40,Sag Harbor,English,English,1969-2009-40 US_Male_Whitehead_Sag Harbor_2009.docx,1,100783,78.36,72.33,55.14,28.31,14.21,15.68,83.82,52.41,15.04,10.08,3.61,1.73,1.13,2.48,1.13,4.95,8.51,14.69,6.55,3.92,5.58,1.63,14.44,4.16,1.94,1.58,1.34,1.83,3.49,1.8,1.65,0.26,0.59,0.32,11.2,0.72,0.27,1.01,2.34,8.3,1.42,1.01,1.03,2.03,1.34,2.54,4.04,1.76,1.26,0.76,2.84,1.53,0.43,0.14,0.78,7.18,2.73,0.89,2.47,1.09,0.36,7.97,4.23,0.81,17.72,2.58,9.67,5.81,1.16,1.41,0.95,0.5,0.14,0.14,0.91,0.35,0.31,0.12,0.1,0.01,20.69,6.53,6.59,0.14,0.03,0.51,0.2,1.25,2.85,2.41,0.14,0.05
114,65,male,heterosexual,Anthony Doerr,American,1973,2004,31,About Grace,English,English,1973-2004-31 US_Male_Doerr_About Grace_2004.docx,1,121630,89.63,80.41,14.06,30.79,12.82,17.55,80.62,51.03,12.6,9.61,0.88,0.18,0.75,6.78,1.02,2.95,10.45,14.78,5.46,3.34,5.64,1.03,13.04,3.73,1.8,0.81,1.75,1.46,2.29,1.28,0.99,0.22,0.16,0.36,11.57,0.39,0.13,2.54,4.97,6.85,1.33,0.56,1.27,1.93,0.89,2,4.86,2.13,1.15,1.3,3.73,2.26,0.47,0.06,0.96,4.1,0.66,0.69,2.19,0.54,0.26,6.78,3.89,0.78,18.38,2.9,11.31,4.71,1.06,1.08,1.3,0.41,0.14,0.22,0.24,0.03,0.01,0.11,0.07,0.01,19.98,7.14,6.29,0.47,0.46,0.74,0.05,0.54,2.72,1.49,0.06,0.01
115,65,male,heterosexual,Anthony Doerr,American,1973,2014,41,All the Light We Cannot See,English,English,1973-2014-41 US_Male_Doerr_All the Light We Cannot See_2014.docx,1,129134,89.06,81.39,18.5,29.01,11.95,17.15,79.05,48.77,11.7,8.22,0.62,0.36,0.78,5.22,1.25,3.43,9.93,14.06,5.36,3.45,5.59,1.16,12.05,3.88,1.94,1.14,2.31,1.64,2.44,1.31,1.11,0.24,0.29,0.28,11.74,0.59,0.1,2.68,3.96,7.21,1.48,0.69,0.81,1.96,1.21,2.12,4.71,1.62,1.7,1.1,3.27,1.94,0.49,0.05,0.82,4.93,0.82,0.75,2.78,0.57,0.32,1.88,8.67,1.04,17.43,2.66,10.76,4.43,1.15,0.92,1.25,0.22,0.22,0.28,0.16,0.04,0.01,0.06,0.04,0,21.03,7.47,6.26,0.34,0.41,0.93,0.08,1.05,3.05,1.41,0.01,0.01
116,66,male,heterosexual,Phil Klay,American,1983,2014,31,Redeployment,English,English,1983-2014-31 US_Male_Klay_Redeployment_2014.docx,1,77832,51,67.8,41.53,19.61,10.65,13.94,87.61,54.89,18.35,13.21,5.73,1.13,1.62,3.82,0.92,5.13,7.28,12.83,8.47,4.79,6.43,2.22,19.12,4.04,2.14,1.78,1.39,1.89,5.02,2.28,2.69,0.31,1.36,0.33,13.71,0.43,0.37,1.54,3.23,10.27,2.05,1.1,1.44,2.34,1.31,3.19,4.9,1.59,2.18,0.97,3.02,1.64,0.57,0.39,0.57,7.07,1.93,1,2.71,1.48,0.47,7.74,8.45,1.01,14.01,2.16,7.95,4.3,1.64,0.84,0.42,0.37,0.42,0.66,1.26,0.7,0.14,0.25,0.14,0.03,28.05,8.73,7.33,0.04,0.01,0.76,0.06,0.6,6.29,4.18,0.02,0.04
117,67,male,heterosexual,Sherwood Anderson,American,1876,1920,44,Poor White,English,English,US_Male_Anderson_Poor White_1920.docx,1,108054,88.77,84.87,18.97,28.28,18.51,14.34,87.46,55.1,12.98,9.32,0.96,0.2,0.53,6.66,0.97,3.65,10.29,16.82,6.97,3.18,6.35,1.13,16.26,3.64,1.63,1.63,1.14,1.45,3.45,1.77,1.62,0.41,0.44,0.32,13.71,0.77,0.2,2.55,6.16,7.92,1.84,0.93,1.06,1.83,1.03,2.02,3.2,1.23,1.01,0.74,2.37,1.18,0.6,0.06,0.54,5.44,1.01,1.17,2.12,1.19,0.38,9.65,4.73,0.88,18.63,3.38,10.05,5.56,1.8,0.71,0.92,1.01,0.18,0.12,0.18,0.03,0.04,0.02,0.09,0,13.19,5.25,4.31,0.01,0.08,0.15,0.03,0.46,1.4,1.39,0,0.12
118,67,male,heterosexual,Sherwood Anderson,American,1876,1916,40,Windy McPherson's Son,English,English,US_Male_Anderson_Windy McPherson_s Son_1916.docx,1,110167,92.13,87.71,15.73,35.12,20.03,15.38,87.27,53.9,13.15,9.75,1.2,0.23,0.66,6.62,1.04,3.39,10.61,16.84,5.47,2.63,6.04,0.87,14.76,3.56,1.44,1.3,1,1.2,3.87,2.18,1.65,0.41,0.43,0.42,14.41,0.52,0.21,2.23,6.5,6.62,1.83,0.87,0.92,1.39,0.72,1.59,3.8,1.49,1.29,0.85,3.21,1.74,0.79,0.08,0.65,5.54,1.14,1.15,2.28,1.14,0.36,7.56,4.29,0.91,17.88,3.07,10.09,5.04,1.76,0.91,0.98,1.03,0.29,0.2,0.16,0.02,0.02,0.02,0.08,0.01,14.64,4.68,5.54,0.01,0.2,0.2,0.12,0.74,2.25,0.81,0,0.08
119,68,male,heterosexual,William Wells Brown,American,1814,1853,39,"Clotel; or, The President's Daughter",English,English,"US_Male_Brown_Clotel_ or, The President_s Daughter_1853.docx",1,57257,81.73,81.39,10.82,48.14,21.66,17,85.78,54.65,13.21,8.91,1.51,0.52,1.28,4.33,1.27,4.31,9.37,15.17,7.61,3.49,6.68,1.38,14.09,4.7,2.32,1.77,1.37,2,4.7,2.94,1.73,0.29,0.34,0.53,12.71,0.65,0.22,2.24,3.7,8.87,1.65,1.1,1.4,1.98,1.31,2.65,2.97,1.42,0.94,0.49,1.87,0.92,0.47,0.1,0.34,7.28,1.52,1.01,3.66,1.1,0.52,6.59,5.55,1.25,13.5,1.91,7.06,4.65,1.53,0.52,0.53,1.11,0.98,0.33,0.59,0.05,0.13,0.19,0.24,0,19.28,4.39,8.36,0.12,0.9,0.41,0.16,0.9,2.57,1.37,0.09,0.02
120,69,male,heterosexual,George Washington Cable,American,1844,1888,44,Bonaventure: A Prose Pastoral,English,English,US_Male_Cable_Bonaventure - A Prose Pastoral of Acadian Louisiana_1888.docx,1,82013,76.85,75.47,22.28,49.36,16.06,15.39,82.45,51.33,12.64,8.55,1.4,0.21,1.15,4.8,0.99,4.08,8.36,13.55,6.01,4.57,7.25,1.67,13.67,4.77,2.19,1.31,1.58,1.97,4.33,2.77,1.5,0.33,0.27,0.48,11.76,0.54,0.3,1.73,4.39,8.88,1.57,0.96,1.23,1.89,1.3,3.13,4.13,2.02,1.2,0.77,2.39,1.53,0.4,0.07,0.34,5.2,1.14,0.78,2.39,0.97,0.38,6.1,5.76,0.91,16.36,2.67,8.77,5.33,1.2,0.56,0.56,0.39,0.32,0.18,0.9,0.03,0.31,0.33,0.31,0.01,26.66,4.77,8.4,0.27,1.25,0.58,1.16,4.06,2.75,2.72,0.03,0.67
121,69,male,heterosexual,George Washington Cable,American,1844,1880,36,The Grandissimes,English,English,US_Male_Cable_The Grandissimes_1880.docx,1,114415,81.73,79.48,12.08,52.09,16.89,18.09,81.42,51.01,13.08,8.81,1.57,0.39,1.26,4.71,0.88,4.27,8.82,13.84,6.37,3.53,6.03,1.48,13.55,4.31,2.09,1.47,1.31,1.71,5.12,3.25,1.84,0.35,0.38,0.56,12.44,0.57,0.27,2.22,3.86,8.69,1.85,0.93,1.25,1.89,1.16,2.78,3.93,1.59,1.47,0.72,2.38,1.45,0.57,0.08,0.27,5.81,1.3,1.04,2.85,0.84,0.48,6.01,5.52,0.96,13.73,2.25,7.33,4.48,1.19,0.53,0.72,0.6,0.33,0.2,0.92,0.04,0.34,0.27,0.41,0,27.5,4.47,8.21,0.22,1.07,0.7,1.01,3.99,4.51,2.16,0.21,0.94
122,70,male,heterosexual,Charles W. Chesnutt,American,1858,1905,47,The Colonel's Dream,English,English,US_Male_Chesnutt_The Colonel_s Dream_1905.docx,1,85190,79.47,76.81,13.08,54.84,19.62,16.53,83.99,52.88,12.61,8.58,1.69,0.35,1.15,4.54,0.85,4.02,9.3,14.05,8.29,3.6,6.17,1.65,15.1,4.45,2.07,1.74,1.05,1.93,5.33,3.4,1.86,0.27,0.44,0.62,12.11,0.64,0.34,1.56,4.37,9.48,1.78,1.02,1.67,2.22,1.24,2.84,2.96,1.43,0.88,0.51,1.69,0.81,0.5,0.04,0.31,5.9,1.32,1,2.53,1.08,0.51,7.41,5.76,1.18,14.17,2.17,7.29,4.99,1.74,0.63,0.68,1.03,0.21,0.39,0.73,0.1,0.21,0.13,0.29,0,22.61,4.77,8.68,0.03,0.53,0.37,0.2,1.6,3.05,2.97,0,0.4
123,70,male,heterosexual,Charles W. Chesnutt,American,1858,1900,42,The House Behind the Cedars,English,English,US_Male_Chesnutt_The House Behind the Cedars_1900.docx,1,70019,79.03,81.82,8.66,54.49,20.05,15.96,84.51,52.95,13.58,9.73,1.55,0.29,1.06,6.24,0.59,3.85,8.98,14.23,8.1,3.58,5.54,1.61,14.57,4.74,2.22,1.64,1.02,1.93,5.54,3.49,1.96,0.39,0.38,0.64,13.74,0.94,0.33,3.77,4.17,10.2,2.27,0.89,1.94,2.5,1.27,2.81,2.93,1.58,0.63,0.56,2.05,0.89,0.62,0.05,0.27,6.28,1.73,0.97,2.54,1.06,0.55,6.93,5.25,1.19,14.38,2.25,7.68,4.75,1.48,0.56,0.74,0.49,0.31,0.2,0.81,0.04,0.31,0.11,0.37,0,20.89,4.56,7.76,0.05,0.56,0.34,0.22,1.66,2.57,3.15,0.02,0
124,71,male,heterosexual,James Fenimore Cooper,American,1789,1833,44,The Headsman: The Abbaye des Vignerons ,English,English,US_Male_Cooper_The Headsman - The Abbaye des Vignerons_1833.docx,1,157795,88.42,75.54,11.32,58.82,28.02,20.42,82.9,55.08,12.69,7.24,1.22,0.79,1.22,3.13,0.88,5.45,10.46,16.36,6.87,3.51,6.32,1.17,11.65,5.19,2.82,1.85,0.69,2.22,6.34,4.01,2.26,0.52,0.49,0.58,10.32,0.49,0.34,1.12,2.98,9.68,2.16,1.13,1.12,2.08,1.44,2.99,2.61,1.04,0.77,0.64,1.69,0.89,0.44,0.1,0.24,6.37,1.77,1.18,2.48,0.99,0.69,4.99,5.17,1,11.62,1.63,6.08,3.96,1.07,0.56,0.21,0.39,0.78,0.21,0.27,0.03,0.02,0.05,0.18,0,16.5,2.9,8.42,0.06,0.63,0.26,0.47,1.16,2.21,0.32,0.02,0.06
125,71,male,heterosexual,James Fenimore Cooper,American,1789,1824,35,The Pilot: A Tale of the Sea,English,English,US_Male_Cooper_The Pilot - A Tale of the Sea_1824.docx,1,158812,86.34,78.49,13.33,31.91,27.56,19.53,82.85,54.52,13.38,8.86,1.76,0.77,1.5,3.77,1.06,4.52,10.27,15.61,6.81,3.31,6.35,1.19,12.28,4.48,2.49,1.74,0.88,1.77,5.35,2.83,2.47,0.56,0.66,0.7,11.65,0.18,0.34,1.12,3.85,8.98,1.85,1.09,1.3,2.07,1.2,2.95,3.3,1.33,1.21,0.64,1.83,1.21,0.29,0.18,0.26,6.87,1.57,1.1,3.21,0.91,0.73,4.79,5.75,1.31,12.84,1.98,6.78,4.2,1.28,0.5,0.31,0.3,0.32,0.23,0.4,0.13,0.03,0.1,0.16,0,20.36,2.77,9.27,0.25,1.2,0.34,0.78,1.29,3.73,0.6,0.04,0.1
126,72,male,heterosexual,Stephen Crane,American,1871,1899,28,Active Service,English,English,US_Male_Crane_Active Service_1899.docx,1,78483,73.05,80.4,9.39,40.68,13.37,18.43,85.2,55.27,15.5,10.46,1.75,0.27,1.42,5.87,1.15,5.04,8.66,14.39,7.94,4.19,5.56,1.75,15.68,3.93,1.84,1.54,0.88,1.87,5.47,3.1,2.27,0.45,0.67,0.56,13.25,0.31,0.18,1.79,5.23,10.63,2.47,1.05,1.66,2.63,1.59,2.82,3.88,1.72,1.38,0.63,2.04,1.06,0.3,0.07,0.63,5.46,0.99,0.94,2.5,1.06,0.51,7.52,6.04,1.05,13.58,2.12,7.33,4.33,1.54,0.72,0.43,0.29,0.28,0.17,0.8,0.05,0.04,0.18,0.53,0,20.73,6.74,5.69,0.16,0.17,0.67,0.29,1.22,4.23,1.38,0,0.18
127,72,male,heterosexual,Stephen Crane,American,1871,1895,24,The Red Badge of Courage,English,English,US_Male_Crane_The Red Badge of Courage_1895.docx,1,46534,87.35,83.45,7.09,12.3,12.89,17.63,83.27,52.32,13.74,9.64,0.77,0.31,0.29,6.53,1.74,4.1,10.29,14.8,6.6,3.21,4.98,1.06,13.99,3.96,1.81,1.14,0.7,1.62,5.53,2.23,3.25,0.58,1.45,0.57,12.95,0.09,0.42,0.15,7.42,8.26,2.08,0.99,1.38,2.02,1.13,1.9,4.7,2.13,1.45,0.93,2.7,1.85,0.46,0.07,0.41,5.6,0.99,0.89,2.61,1.05,0.57,8.15,3.98,0.66,15.35,2.72,8.14,4.85,0.6,0.36,0.17,0.21,0.27,0.38,0.64,0.11,0.15,0.07,0.32,0,19.61,7.05,5.17,0.11,0.13,0.34,0.38,1.3,2.11,3.01,0,0
128,73,male,heterosexual,Theodore Dreiser,American,1871,1900,29,Sister Carrie,English,English,US_Male_Dreiser_Sister Carrie_1900.docx,1,157491,61.85,83.53,8.48,52.84,12.3,16.42,87.91,55.84,16.66,11.27,1.38,0.24,1.33,7.68,0.63,5.38,7.44,14.17,8.41,4.92,5.84,2.07,17.82,4.49,2.16,1.92,1.37,2.21,5.13,3.25,1.81,0.43,0.27,0.51,14.4,0.21,0.21,3.72,4.73,11.19,2.74,1.12,1.97,2.51,1.47,2.74,4.26,1.68,1.55,0.9,1.8,0.95,0.35,0.07,0.41,5.3,0.97,0.92,2.08,1.36,0.46,8.7,6.36,1.18,15.54,2.53,8.01,5.23,1.26,0.71,0.63,0.85,0.14,0.05,0.63,0.02,0.04,0.15,0.43,0.01,24.46,7.43,7.5,0.06,0.13,0.71,0.17,1.45,5.23,1.75,0.01,0.01
129,73,male,heterosexual,Theodore Dreiser,American,1871,1915,44,"The ""Genius""",English,English,US_Male_Dreiser_The _Genius__1915.docx,1,306958,46.91,81.55,4.26,62.01,14.19,16.22,88.14,57.46,17.71,11.97,1.71,0.2,1.49,7.85,0.73,5.72,5.98,13.77,9.82,4.87,6.83,2.1,17.73,4.73,2.23,1.94,1.21,2.03,5.76,3.78,1.87,0.39,0.37,0.5,14.63,0.5,0.17,3.37,5.37,12.63,2.56,1.22,2.42,3.05,1.6,3.49,3.27,1.64,0.83,0.62,1.89,0.78,0.58,0.08,0.29,5.29,1.18,1.1,1.91,1.24,0.42,7.75,7.01,1.3,13.15,2.07,6.69,4.6,1.57,0.75,0.58,0.64,0.33,0.11,0.48,0.02,0.03,0.11,0.33,0,20.42,6.28,6.75,0.03,0.19,0.61,0.42,1.63,2.74,1.62,0.04,0.1
130,74,male,heterosexual,W. E. B. Du Bois,American,1868,1911,43,The Quest of the Silver Fleece,English,English,US_Male_Du Bois_The Quest of the Silver Fleece_1911.docx,1,109763,66.99,81.41,10.36,30.77,13.24,17.02,84.53,51.41,14.25,10.35,1.54,0.42,1.12,6.45,0.83,3.89,7.71,12.14,6.74,4.05,7.49,1.66,15.41,4.53,1.72,1.27,1.24,1.42,5.72,2.98,2.69,0.57,0.47,1.01,13.5,0.36,0.19,4.16,3.46,9.37,2.17,0.92,1.39,1.92,1.29,2.78,4.85,2.38,1.4,0.92,2.05,1.26,0.39,0.07,0.33,6.05,1.34,0.95,2.68,1,0.55,7.2,6.17,1.24,14.78,2.47,7.67,5.11,1.7,0.59,0.53,0.84,0.41,0.18,0.74,0.13,0.05,0.24,0.33,0,27.46,6.89,7.1,0.26,1.04,0.89,0.41,3.24,5.54,1.87,0.01,0.22
131,75,male,heterosexual,Nathaniel Hawthorne,American,1804,1851,47,The House of the Seven Gables,English,English,US_Male_Hawthorne_The House of the Seven Gables_1851.docx,1,104205,82.43,69.9,13.5,47.51,23.06,20.23,83.23,54.14,12.23,6.91,1.04,0.43,0.71,3.96,0.78,5.32,9.03,15.75,6.84,4.58,7.2,1.38,11.79,5.6,2.99,1.65,0.99,2.01,5.37,3.23,2.05,0.43,0.34,0.65,9.76,0.5,0.25,1.9,3.11,10.56,1.97,1.17,1.4,2.83,1.61,3.25,3.17,1.48,0.79,0.65,2,0.98,0.46,0.08,0.45,5.17,1.3,0.88,2.16,0.87,0.41,5.23,4.98,0.94,13.48,1.54,7.44,4.64,0.9,0.74,0.94,0.68,0.47,0.35,0.34,0.02,0.01,0.14,0.19,0,21.45,3.21,10.47,0.02,0.76,0.33,0.97,2.94,1.76,0.86,0.13,0
132,75,male,heterosexual,Nathaniel Hawthorne,American,1804,1850,46,The Scarlet Letter,English,English,US_Male_Hawthorne_The Scarlet Letter_1850.docx,1,84287,81.86,71.55,12.62,37.59,24.12,19.33,83.2,54.57,13.03,7.48,1.35,0.29,0.8,4.21,0.82,5.54,9.07,15.65,6.51,4.35,7.28,1.31,11.32,5.22,2.85,1.85,0.74,1.98,5.36,2.97,2.31,0.52,0.38,0.65,10.51,0.4,0.25,2.37,2.93,10.2,2.09,1.1,1.3,2.5,1.57,3.23,3.18,1.63,0.76,0.62,2.2,1.2,0.68,0.14,0.19,5.35,1.04,0.84,2.67,0.81,0.48,5.55,4.12,0.98,12.98,1.58,7.11,4.4,1.11,0.52,0.35,0.37,1.17,0.33,0.27,0.02,0.03,0.12,0.12,0,19.49,3.23,9.56,0.06,0.57,0.37,0.77,2.64,1.65,0.62,0.03,0
133,76,male,heterosexual,Ernest Hemingway,American,1899,1929,30,A Farewell to Arms,English,English,US_Male_Hemingway_A Farewell to Arms_1929.docx,1,89043,52.88,70.18,60.28,43.13,8.61,10.91,89.01,58.55,17.46,13.25,5.51,1.5,2.47,2.53,1.24,4.21,9.19,12.4,10.05,4.79,6.32,2.47,21.13,3.55,1.25,1.36,1.07,1.85,4.26,2.6,1.65,0.24,0.5,0.41,12.1,0.31,0.27,1.18,1.99,8.83,1.38,0.72,1.77,1.86,1.35,2.73,4.62,1.67,1.86,0.94,2.93,1.09,0.79,0.03,0.96,6.9,2.09,0.73,2.68,1.35,0.39,9.19,9.04,1.75,17.25,3.45,9.86,4.38,0.8,0.81,0.84,0.27,0.28,0.33,0.53,0.08,0.01,0.23,0.18,0.03,28.32,10.37,3.48,0.01,0.08,1.23,0.07,0.51,9.76,2.79,0.02,0
134,76,male,heterosexual,Ernest Hemingway,American,1899,1952,53,The Old Man and the Sea,English,English,US_Male_Hemingway_The Old Man and the Sea_1952.docx,1,26675,59.57,74.99,17.71,32.4,13.86,9.17,88.65,59.2,16.07,11.76,2.35,0.26,0.87,7.17,1.11,4.31,10.29,12.11,8.26,4.79,8.72,1.66,17.53,4.53,1.97,1.12,1.11,1.59,3.67,2.02,1.63,0.26,0.46,0.39,12.82,0.11,0.04,0.21,8.56,9.66,2,0.82,1.75,1.68,1.43,3.18,4.71,1.98,0.97,1.51,3.82,2.14,0.45,0.04,1.19,4.64,0.6,0.88,2.06,1.2,0.31,7.73,7.1,1.57,16.84,3.19,7.96,6.44,0.48,0.53,0.18,0.24,0.16,0.28,0.25,0.04,0,0.04,0.15,0.03,14.5,6.86,2.94,0,0.03,0.35,0,0.31,3.31,0.69,0,0
135,77,male,heterosexual,William Dean Howells,American,1837,1882,45,A Modern Instance,English,English,US_Male_Howells_A Modern Instance_1882.docx,1,155337,52.71,83.76,9.71,46.09,16.55,15.12,88.05,57.94,19.18,13.73,2.91,0.38,1.93,7.51,1,5.44,6.67,14.6,8.26,4.35,6.87,2.17,17.47,3.99,2.11,1.9,0.77,1.76,5.47,3.26,2.15,0.43,0.4,0.71,15.88,0.62,0.25,3.3,5.36,11.17,2.34,1.18,1.99,2.69,1.5,3.23,3.4,1.15,1.35,0.82,1.96,1.04,0.4,0.05,0.44,5.62,1.34,0.96,2.08,1.3,0.48,7.46,7.63,1.25,14.23,2.37,7.35,4.82,1.26,0.52,0.69,0.62,0.35,0.12,0.76,0.02,0.04,0.18,0.52,0.01,25.15,5.05,7.72,0.16,1.04,0.61,0.68,1.66,4.88,2.71,0.01,0.63
136,77,male,heterosexual,William Dean Howells,American,1837,1872,35,Their Wedding Journey,English,English,US_Male_Howells_Their Wedding Journey_1872.docx,1,74153,84.76,75.35,22.09,53.37,27.29,17.71,83.75,54.93,13,7.76,1.08,0.66,0.71,2.88,2.44,5.23,9.81,15.97,6.26,3.93,7.33,1.41,12.28,4.86,2.39,1.73,0.97,2.11,5.38,3.38,1.92,0.33,0.38,0.65,10.72,0.37,0.31,1.69,2.12,9.06,1.85,0.83,1.36,2.31,1.47,2.73,3.23,1.51,0.83,0.65,1.94,0.9,0.41,0.09,0.51,5.59,1.73,0.85,2.12,0.97,0.43,5.81,5.06,0.8,14.96,2.19,8.37,4.56,0.74,0.83,0.54,0.58,0.48,0.15,0.41,0.01,0.09,0.12,0.2,0,17.31,3.12,7.66,0.06,1.19,0.26,0.33,1.43,1.94,1.24,0.08,0
137,78,male,heterosexual,Sinclair Lewis,American,1885,1929,44,Dodsworth,English,English,US_Male_Lewis_Dodsworth_1929.docx,1,138714,61.97,76.12,12.65,58.91,17.11,17.39,83.53,53.59,14.9,10.54,2.46,0.46,1.59,4.99,1.03,4.35,6.95,13.97,8.22,4.88,7.35,1.82,15.34,4.93,2.43,1.56,1.28,1.91,5.63,3.66,1.9,0.37,0.5,0.49,12.65,0.36,0.41,1.87,4.11,10.59,2.22,0.84,1.55,2.56,1.54,3.24,3.06,1.26,0.95,0.66,1.96,0.6,0.46,0.09,0.8,5.62,1.58,0.85,2.17,1.07,0.37,6.3,6.76,1.03,12.75,1.82,6.75,4.44,1.48,1.35,0.74,0.63,0.4,0.1,0.87,0.09,0.12,0.14,0.5,0.03,23.55,4.6,7.39,0.15,0.42,0.52,1.29,3.64,2.65,2.69,0.19,0.01
138,78,male,heterosexual,Sinclair Lewis,American,1885,1920,35,Main Street,English,English,US_Male_Lewis_Main Street_1920.docx,1,169733,68.17,77.29,11.04,52.99,14.43,16.9,82.6,51.96,14.68,10.58,2.38,0.49,1.47,5.11,1.13,4.1,7.66,13.44,7.89,3.86,6.68,1.87,15.35,4.42,1.89,1.46,1.13,1.72,5.37,3.39,1.94,0.4,0.49,0.47,12.73,0.54,0.31,3.68,2.57,9.57,1.97,0.92,1.45,2.11,1.42,2.86,3.38,1.45,0.95,0.8,2.34,0.99,0.63,0.06,0.64,5.83,1.58,0.89,2.24,1.12,0.42,5.93,7.19,1,13,1.96,7.25,3.99,1.55,1.11,0.87,0.69,0.47,0.13,0.76,0.09,0.16,0.13,0.37,0.02,24.88,5.92,6.49,0.21,0.49,0.7,0.88,3.77,3.21,3.07,0.13,0.02
139,79,male,heterosexual,Jack London,American,1876,1909,33,Martin Eden,English,English,US_Male_London_Martin Eden_1909.docx,1,140443,63.16,81.18,5.14,49.46,15.44,16.2,86.41,56.59,16.92,11.86,1.78,0.13,1.31,7.73,0.91,5.05,7.76,14.16,8.08,3.72,7.12,1.88,15.48,4.13,2.05,1.48,1.26,1.65,5.03,3.13,1.86,0.42,0.44,0.47,13.9,0.28,0.22,2.12,6.44,9.76,2.47,1.02,1.44,1.58,1.45,2.8,3.24,1.36,0.85,0.83,3.07,1.48,0.69,0.08,0.66,5.22,1,1.17,2.13,1.11,0.37,7.98,5.38,0.76,13.32,1.93,6.88,4.71,2.14,0.88,0.44,0.85,0.3,0.13,0.35,0.03,0.06,0.08,0.16,0.02,21.35,6.1,7.39,0.06,0.32,0.38,0.16,1.8,3.14,1.9,0.03,0.07
140,79,male,heterosexual,Jack London,American,1876,1917,41,"Michael, Brother of Jerry",English,English,"US_Male_London_Michael, Brother of Jerry_1917.docx",1,96706,83.17,73.78,11.87,27.9,16.5,17.16,81.36,52.89,13.07,8.95,1.55,0.26,1.09,5.19,0.85,4.11,9.28,15.3,6.52,3.6,6.86,1.58,12.89,4.06,2.17,1.37,1.65,1.79,4.42,2.25,2.12,0.39,0.73,0.46,10.76,0.15,0.16,0.62,5.58,7.97,1.56,0.93,1.02,1.53,1.35,2.5,3.23,1.12,0.87,0.92,3.37,2.07,0.69,0.06,0.56,5.64,0.87,0.87,2.83,1.1,0.43,6.1,4.98,0.78,14.51,2.11,8.16,4.58,1.12,0.8,0.38,0.69,0.31,0.26,0.39,0.11,0.05,0.08,0.18,0.02,22.61,5.79,8.09,0.08,0.19,0.27,0.28,2.02,2.88,2.48,0.02,0.51
141,80,male,heterosexual,Herman Melville,American,1819,1851,32,"Moby-Dick; or, The Whale",English,English,US_Male_Melville_Moby-Dick_1851.docx,1,212662,83.74,62.64,25.74,29.76,21.98,17.71,78.83,51.96,11.93,6.77,1.62,0.43,1.03,2.85,0.84,5.15,9.12,14.96,5.74,4.8,7.04,1.3,10.86,4.86,2.57,1.46,1.43,2.57,3.78,1.99,1.75,0.29,0.46,0.48,7.9,0.11,0.23,0.31,3.32,9.34,1.49,0.9,0.94,2.45,1.78,3.12,3.16,1.51,0.75,0.8,2.55,1.61,0.43,0.14,0.43,4.87,0.92,0.74,2.48,0.78,0.33,3.93,5.42,1.05,14.66,1.86,8.09,4.89,0.73,0.49,0.27,0.33,0.53,0.38,0.47,0.1,0.08,0.11,0.2,0,20.07,3.47,8.91,0.09,1.95,0.47,0.82,1.18,1.36,1.34,0.19,0.29
